,S_Number,District Name,Market Name,Commodity,Variety,Grade,Min Price(Rs./Quintal),Max Price(Rs./Quintal),Modal Price(Rs./Quintal),Price Date
0,1,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,2020-12-30
1,2,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-29
2,3,Agra,Achnera,Potato,Desi,FAQ,850,950,900,2020-12-28
3,4,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-27
4,5,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-26
5,6,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-25
6,7,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,2020-12-23
7,8,Agra,Achnera,Potato,Desi,FAQ,820,920,870,2020-12-22
8,9,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-21
9,10,Agra,Achnera,Potato,Desi,FAQ,800,900,850,2020-12-20
10,11,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,2020-12-19
11,12,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,2020-12-18
12,13,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,2020-12-16
13,14,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,2020-12-15
14,15,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,2020-12-14
15,16,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,2020-12-13
16,17,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,2020-12-12
17,18,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,2020-12-11
18,19,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,2020-12-09
19,20,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,2020-12-08
20,21,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,2020-12-07
21,22,Agra,Achnera,Potato,Desi,FAQ,2650,2750,2700,2020-12-06
22,23,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-12-05
23,24,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-12-04
24,25,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-12-02
25,26,Agra,Achnera,Potato,Desi,FAQ,2840,2940,2890,2020-12-01
26,27,Agra,Achnera,Potato,Desi,FAQ,2830,2930,2880,2020-11-30
27,28,Agra,Achnera,Potato,Desi,FAQ,3750,3850,3800,2020-11-29
28,29,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,2020-11-28
29,30,Agra,Achnera,Potato,Desi,FAQ,2830,2910,2870,2020-11-27
30,31,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-25
31,32,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-24
32,33,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-23
33,34,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,2020-11-22
34,35,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-21
35,36,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,2020-11-20
36,37,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,2020-11-18
37,38,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-17
38,39,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-16
39,40,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,2020-11-15
40,41,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,2020-11-14
41,42,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,2020-11-13
42,43,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,2020-11-11
43,44,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-10
44,45,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2020-11-09
